Desde: 01/08/2025 Hasta: 30/08/2025;;;;;
Sucursales: PASADENA;;;;;
Turnos: ALMUERZO, CENA, NOCHE;;;;;
FAMILIA;CODIGO;ARTICULO;CANTIDAD;IMPORTE;SUBFAMI
EN CUALQUIER MOMENTO;106;YOGURT CON CEREALES;4;25600;CAFETERIA
EN CUALQUIER MOMENTO;107;YOGURT CON FRUTAS Y CEREALES;12;93600;CAFETERIA
EN CUALQUIER MOMENTO;109;TOSTADAS QUESO Y MERMELADA;8;45600;CAFETERIA
ENSALADAS;310;ENS DE LA CASA;6;77400;ENSALADAS
ENSALADAS;311;ENS CESAR DE POLLO;10;119000;ENSALADAS
ENSALADAS;313;ENS VERANO;3;38700;ENSALADAS
ENSALADAS;520;ENS CAPRESSE DE PASTA;5;57500;ENSALADAS
ENSALADAS;521;ENS DEL CHEFF;7;97300;ENSALADAS
ENSALADAS;522;ENS NICOSIA;6;83400;ENSALADAS
ENSALADAS;549;ENS RECOLETA;1;11500;ENSALADAS
ENSALADAS;550;ENS ARCOIRIS ;5;71000;ENSALADAS
ICE TEA;255;ICE COSTA;8;36800;CAFETERIA
LICUADOS;271;LICUADO BANANA/ FRUTILLA O DURAZNO;24;148800;BEBIDAS
LICUADOS;272;LICUADO FRUTILLA NARANJA;12;87600;BEBIDAS
LICUADOS;273;LICUADO ZANAHORIA JUGO JENGIBRE;1;6700;BEBIDAS
LICUADOS;274;LICUADO MARACUYA JUGO NARANJA;1;7300;BEBIDAS
LICUADOS;275;DETOX MANZANA VERDE MENTA;1;7800;BEBIDAS
LICUADOS;276;DETOX JUGO FRUTOS ROJOS REMOLACHA;1;8300;BEBIDAS
LICUADOS;277;DETOX PEPINO MANZANA APIO;1;8300;BEBIDAS
LICUADOS;278;DETOX JUGO JEN KIWI ESPINACA ;3;24900;BEBIDAS
LOS TE  INTI ZEN;165;TE INTI;66;237600;CAFETERIA
LOS TE  INTI ZEN;166;TE CLASICO;12;37200;CAFETERIA
LOS TE  INTI ZEN;166;TE NEGRO;34;105400;CAFETERIA
LOS TE  INTI ZEN;167;TE CON LECHE;11;53900;CAFETERIA
PASTELERIA;50;MEDIALUNAS;602;963200;CAFETERIA
PASTELERIA;51;COOKIE CHOCOLATE;11;42900;CAFETERIA
PASTELERIA;52;COOKIE VAINILLA;9;33300;CAFETERIA
PASTELERIA;53;COOKIE PISTACHO/RED VELVET;28;109200;CAFETERIA
PASTELERIA;54;MINI CAKE  ;39;292500;CAFETERIA
PASTELERIA;55;PORCION DE TORTA (COMPARTIR);9;101700;CAFETERIA
PASTELERIA;56;SCON QUESO;14;63000;CAFETERIA
PASTELERIA;57;SCON PASAS UVA;15;67500;CAFETERIA
PASTELERIA;58;SCON DULCE;11;47300;CAFETERIA
PASTELERIA;59;PORCION BUDIN;28;154000;CAFETERIA
PASTELERIA;60;CRUMBLE DE MANZANA;12;90000;CAFETERIA
PASTELERIA;62;SIN TAC MAICENA;19;104500;CAFETERIA
PASTELERIA;63;SIN TAC CHOCOLATE;8;52000;CAFETERIA
PASTELERIA;65;ALFAJOR DE MAICENA;52;202800;CAFETERIA
PASTELERIA;66;MACARONS;53;185500;CAFETERIA
PASTELERIA;76;PROMO PASTAFROLA ;2;15800;CAFETERIA
PASTELERIA;77;SCON DE QUESO C/JYQ;21;123900;CAFETERIA
PASTELERIA;158;BROWNIE;12;57600;CAFETERIA
PASTELERIA;159;PASTAFROLA;8;31200;CAFETERIA
